1823.269,1002
1828.322,130000
1846.319,19283
1848.233,7527
1848.278,6000
1849.333,2600
1851.553,1300
1853.814,264200
1856.819,2000
1859.331,22500
1859.811,10000
1860.697,1003
1860.792,1004
1862.294,20000
1863.894,1005
1864.086,4481
1864.867,310000
1865.736,1006
1866.458,44100
1870.553,204313
1876.242,4000
1877.317,285000
1879.122,13868
1882.531,10079
1884.458,12100
1885.244,1007
1894.569,15000
1897.125,2000
1898.311,3685
1900.464,3003
1900.547,4000
1904.106,151831
1906.408,1008
1907.136,1009
1909.519,10000
1911.747,20000
1912.797,82000
1913.500,60500
1914.581,8578031
1918.894,11750
1918.922,13246
1919.122,100000
1919.294,11000
1919.347,50000
1919.836,40000
1920.542,1010
1929.631,3200
1931.969,60000
1932.458,92661
1934.222,2100
1935.758,20000
1937.519,1000000
1938.581,1726
1939.364,28000
1939.669,16634907
1939.917,151798
1940.919,1400
1947.822,3500
1948.375,8000
1950.483,910084
1954.675,2370
1956.831,3221
1956.844,2426
1957.892,1122
1958.647,1800
1962.806,1853
1965.103,1021442
1965.597,7061
1967.431,19600
1968.036,13866
1969.183,5368
1969.539,1900
1970.231,6525
1971.925,11223
1973.767,14439
1974.556,1500
1975.814,2700
1977.564,10500
1977.733,8000
1978.828,3000
1979.131,21000
1980.728,1250000
1982.236,1001
1982.308,1655
1986.875,8000
1987.014,4000
1990.589,41466
1992.269,5240
1993.100,14000
1995.025,1500
1998.350,120000
1999.233,5002
1999.356,1172
2001.769,4002
2003.219,7173
